sex,BMI,height,weight
M,35.33,162.56,93.439952
F,26.74,152.4,62.142104
F,32.71,149.86,73.481904
F,35.93,154.94,86.18248
M,24.81,160.02,63.50288
F,23.42,152.4,54.43104
F,25.6,157.48,63.50288
F,25.7,160.02,65.77084
F,24.14,165.1,65.77084
M,27.36,172.72,81.64656
M,33.9,182.88,113.398
F,22.72,170.18,65.77084
M,37.96,182.88,127.00576
F,35.53,167.64,99.79024
F,31.17,154.94,74.84268
M,28.29,162.56,74.84268
F,25.72,162.56,68.0388
M,23.72,180.34,77.11064
M,31.18,182.88,104.32616
F,26.63,165.1,72.57472
F,25.06,170.18,72.57472
F,27.31,160.02,69.853168
M,30.11,172.72,89.811216
M,28.29,165.1,77.11064
M,23.72,180.34,77.11064
F,23.78,157.48,58.96696
M,28.64,175.26,87.996848
F,22.32,162.56,58.96696
M,24.21,167.64,68.0388
F,23.05,160.02,58.96696
M,28.34,170.18,82.100152
M,26.55,175.26,81.64656
M,25.21,167.64,70.760352
F,20.8,154.94,49.89512
M,24.34,172.72,72.57472
F,29.28,152.4,68.0388
M,24.39,182.88,81.64656
M,24.39,177.8,77.11064
M,31.62,165.1,86.18248
M,23.47,170.18,68.0388
F,28.36,160.02,72.57472
M,30.85,175.26,94.800728
F,26.06,162.56,68.945984
M,25.06,170.18,72.57472
M,23.74,187.96,83.91452
F,19.19,157.48,47.62716
M,26.26,175.26,80.739376
F,37.11,152.4,86.18248
M,22.43,185.42,77.11064
F,21.92,170.18,63.50288
F,22.29,157.48,55.338224
F,23.63,175.26,72.57472
M,27.46,162.56,72.57472
M,33.46,172.72,99.79024
M,29.95,182.88,100.243832
M,29.51,187.96,104.32616
M,27.11,182.88,90.7184
F,24.02,162.56,63.50288
F,25.85,167.64,72.57472
M,22.8,172.72,68.0388
F,27.44,165.1,74.84268
F,27.42,154.94,65.77084
M,25.09,175.26,77.11064
M,23.72,180.34,77.11064
F,28.27,167.64,79.3786
F,21.65,165.1,58.96696
M,36.51,172.72,108.86208
F,20.47,165.1,55.791816
M,21.29,172.72,63.50288
M,20.08,172.72,59.874144
M,25.77,182.88,86.18248
F,23.95,157.48,59.420552
F,19.55,152.4,45.3592
M,28.34,182.88,94.800728
M,28.61,180.34,92.98636
M,23.3,165.1,63.50288
F,21.93,157.48,54.43104
M,34.66,187.96,122.46984
M,26.52,180.34,86.18248
M,25.06,170.18,72.57472
F,24.75,170.18,71.667536
F,23.43,167.64,65.77084
M,30.26,175.26,92.98636
M,20.37,170.18,58.96696
F,24.21,167.64,68.0388
M,21.7,182.88,72.57472
F,26.97,165.1,73.481904
F,35.55,154.94,85.275296
M,23.57,172.72,70.30676
M,26.15,172.72,78.017824
M,23.66,177.8,74.84268
M,22.06,172.72,65.77084
M,25.81,177.8,81.64656
M,27.5,180.34,89.357624
M,33.28,165.1,90.7184
M,29.52,175.26,90.7184
F,33.46,172.72,99.79024
M,28.69,177.8,90.7184
F,37.11,152.4,86.18248
F,41.6,165.1,113.398
F,29.96,160.02,76.657048
M,23.09,187.96,81.64656
F,26.62,170.18,77.11064
M,29.76,170.18,86.18248
F,24.26,160.02,62.142104
M,31.17,170.18,90.264808
F,31.01,175.26,95.25432
M,25.2,170.18,73.028312
F,31.77,165.1,86.636072
F,25.72,162.56,68.0388
M,23.74,182.88,79.3786
M,32.55,182.88,108.86208
M,26.62,170.18,77.11064
F,20.9,160.02,53.523856
F,23.48,165.1,63.956472
M,23.57,172.72,70.30676
F,24.29,165.1,66.224432
F,25.72,162.56,68.0388
F,31.39,162.56,83.007336
F,19.84,154.94,47.62716
F,29.28,152.4,68.0388
F,28.16,160.02,72.121128
M,31.01,175.26,95.25432
F,29.16,162.56,77.11064
M,24.39,177.8,77.11064
M,26.39,185.42,90.7184
F,22.45,165.1,61.23492
F,31.95,172.72,95.25432
M,28.12,177.8,88.904032
F,25.19,152.4,58.513368
M,41.49,170.18,120.20188
M,25.81,177.8,81.64656
F,25.03,167.64,70.30676
F,23.03,170.18,66.678024
F,21.79,167.64,61.23492
M,25.5,182.88,85.275296
M,21.12,185.42,72.57472
F,34.4,175.26,105.686936
F,27.86,170.18,80.739376
F,19.49,160.02,49.89512
M,25.81,177.8,81.64656
F,31.73,175.26,97.52228
F,21.25,160.02,54.43104
F,28.33,152.4,65.77084
M,28.12,177.8,88.904032
M,30.69,167.64,86.18248
M,32.99,177.8,104.32616
M,25.06,170.18,72.57472
F,30.69,167.64,86.18248
F,28.72,152.4,66.678024
F,24.34,175.26,74.84268
F,23.78,157.48,58.96696
F,28.17,170.18,81.64656
M,28.29,162.56,74.84268
M,27.11,182.88,90.7184
M,25.81,177.8,81.64656
F,29.76,170.18,86.18248
F,25.85,172.72,77.11064
M,22.36,182.88,74.84268
F,19.46,154.94,46.719976
F,21.46,165.1,58.513368
M,26.55,175.26,81.64656
F,20.8,165.1,56.699
F,31.97,167.64,89.811216
M,25.84,175.26,79.3786
M,30.19,167.64,84.821704
F,24.81,160.02,63.50288
F,37.75,162.56,99.79024
F,31.08,157.48,77.11064
M,32.55,182.88,108.86208
F,28.03,170.18,81.192968
M,24.39,182.88,81.64656
F,25.24,157.48,62.595696
F,25.06,170.18,72.57472
F,22.32,162.56,58.96696
M,26.62,170.18,77.11064
F,27.05,157.48,67.131616
F,19.74,162.56,52.16308
F,26.55,175.26,81.64656
F,27.27,162.56,72.121128
M,29.32,180.34,95.25432
F,41.03,152.4,95.25432
M,28.28,177.8,89.357624
M,27.6,175.26,84.821704
F,24.21,167.64,68.0388
M,31.01,175.26,95.25432
M,25.21,167.64,70.760352
M,32.3,177.8,102.0582
M,23.12,190.5,83.91452
F,26.55,175.26,81.64656
M,24.55,185.42,84.368112
M,24.55,180.34,79.832192
M,26.55,175.26,81.64656
F,25.03,167.64,70.30676
F,31.31,170.18,90.7184
M,28.49,182.88,95.25432
F,36.56,157.48,90.7184
F,20.58,162.56,54.43104
M,27.73,185.42,95.25432
M,29.42,177.8,92.98636
M,25.81,177.8,81.64656
M,30.34,185.42,104.32616
F,24.41,152.4,56.699
M,25.81,177.8,81.64656
M,26.54,177.8,83.91452
M,27.22,180.34,88.45044
M,31.68,185.42,108.86208
F,23.05,160.02,58.96696
M,24.34,172.72,72.57472
F,25.7,160.02,65.77084
M,25.82,170.18,74.84268
M,30.15,177.8,95.25432
F,26.93,162.56,71.213944
F,25.08,172.72,74.84268
F,21.93,157.48,54.43104
M,24.43,180.34,79.3786
M,29.83,182.88,99.79024
F,30.03,162.56,79.3786
F,25.84,175.26,79.3786
M,26.62,170.18,77.11064
F,22.13,175.26,68.0388
M,27.3,175.26,83.91452
M,20.09,177.8,63.50288
F,25.6,157.48,63.50288
M,31.65,193.04,117.93392
F,29.22,160.02,74.84268
M,29.94,165.1,81.64656
M,26.54,177.8,83.91452
M,22.49,190.5,81.64656
F,42.45,165.1,115.66596
M,24.39,177.8,77.11064
F,20.82,172.72,62.142104
F,36.61,165.1,99.79024
F,21.29,172.72,63.50288
F,22.32,162.56,58.96696
F,38.58,157.48,95.707912
F,20.12,157.48,49.89512
F,18.58,167.64,52.16308
F,32.6,162.56,86.18248
M,32.99,185.42,113.398
F,32.04,167.64,89.811216
M,21.65,165.1,58.96696
F,22.32,162.56,58.96696
F,21.92,170.18,63.50288
F,25.06,170.18,72.57472
F,17.98,165.1,48.987936
F,29.87,167.64,83.91452
F,27.27,177.8,86.18248
M,28.76,182.88,96.161504
F,35.68,157.48,88.45044
M,25.82,170.18,74.84268
M,19.52,182.88,65.317248
M,29.2,172.72,87.089664
F,21.25,160.02,54.43104
M,26.54,177.8,83.91452
F,27.34,152.4,63.50288
F,33.28,165.1,90.7184
F,27.42,154.94,65.77084
F,23.3,165.1,63.50288
F,36.76,165.1,100.243832
M,21.81,187.96,77.11064
M,25.08,182.88,83.91452
M,28.0,177.8,88.45044
M,31.57,177.8,99.79024
M,23.3,165.1,63.50288
M,38.02,172.72,113.398
F,27.45,167.64,77.11064
M,24.89,167.64,69.853168
M,25.08,185.42,86.18248
M,23.82,177.8,75.296272
M,24.9,187.96,87.996848
F,21.59,172.72,64.410064
M,25.06,170.18,72.57472
F,24.95,165.1,68.0388
M,25.81,180.34,83.91452
M,28.9,172.72,86.18248
F,19.2,175.26,58.96696
M,30.41,172.72,90.7184
M,23.74,182.88,79.3786
F,25.7,160.02,65.77084
F,22.86,157.48,56.699
F,25.85,167.64,72.57472
F,31.88,160.02,81.64656
F,18.87,162.56,49.89512
M,22.97,177.8,72.57472
F,20.8,165.1,56.699
M,25.06,170.18,72.57472
F,38.22,157.48,94.800728
M,23.1,185.42,79.3786
F,36.04,157.48,89.357624
F,24.21,167.64,68.0388
F,25.72,162.56,68.0388
F,27.46,162.56,72.57472
F,29.61,165.1,80.739376
F,22.86,157.48,56.699
M,22.06,172.72,65.77084
M,25.75,185.42,88.45044
F,21.25,160.02,54.43104
F,23.05,160.02,58.96696
M,23.43,167.64,65.77084
F,31.88,160.02,81.64656
F,24.89,162.56,65.77084
F,31.62,165.1,86.18248
M,28.1,185.42,96.615096
F,28.29,165.1,77.11064
F,27.45,167.64,77.11064
F,25.6,157.48,63.50288
M,27.8,182.88,92.98636
F,20.8,165.1,56.699
F,29.88,154.94,71.667536
F,30.18,162.56,79.832192
M,23.47,170.18,68.0388
F,22.86,157.48,56.699
M,21.41,175.26,65.77084
M,35.0,190.5,127.00576
F,27.41,157.48,68.0388
F,29.13,165.1,79.3786
F,22.61,167.64,63.50288
F,35.25,170.18,102.0582
M,24.39,167.64,68.492392
M,25.81,177.8,81.64656
F,30.26,154.94,72.57472
F,33.48,160.02,85.728888
F,36.2,157.48,89.811216
F,31.88,160.02,81.64656
F,20.8,165.1,56.699
F,21.25,160.02,54.43104
F,36.9,175.26,113.398
M,30.41,172.72,90.7184
M,28.29,162.56,74.84268
M,21.65,165.1,58.96696
F,21.25,160.02,54.43104
F,23.15,162.56,61.23492
M,35.24,182.88,117.93392
F,25.72,162.56,68.0388
F,19.49,160.02,49.89512
M,28.45,180.34,92.532768
F,30.72,157.48,76.203456
M,25.09,175.26,77.11064
M,28.49,182.88,95.25432
F,23.57,172.72,70.30676
M,26.48,170.18,76.657048
M,32.99,185.42,113.398
M,26.39,185.42,90.7184
F,43.91,162.56,116.119552
F,34.39,167.64,96.615096
F,24.81,160.02,63.50288
F,33.93,167.64,95.25432
M,25.84,175.26,79.3786
M,31.41,180.34,102.0582
F,19.84,160.02,50.802304
M,30.16,187.96,106.59412
F,27.45,167.64,77.11064
F,40.37,167.64,113.398
F,22.61,167.64,63.50288
F,28.27,167.64,79.3786
F,45.71,157.48,113.398
F,24.26,160.02,62.142104
F,24.02,162.56,63.50288
F,34.75,157.48,86.18248
F,24.02,162.56,63.50288
M,36.27,180.34,117.93392
F,38.44,160.02,98.429464
M,30.81,187.96,108.86208
F,31.04,152.4,72.121128
M,22.43,185.42,77.11064
F,23.15,162.56,61.23492
F,18.73,167.64,52.616672
M,25.81,180.34,83.91452
F,31.11,165.1,84.821704
M,34.18,180.34,111.13004
F,30.69,167.64,86.18248
F,32.6,162.56,86.18248
M,26.52,180.34,86.18248
F,24.2,152.4,56.245408
M,29.32,180.34,95.25432
M,29.72,180.34,96.615096
M,24.39,182.88,81.64656
M,29.32,180.34,95.25432
M,39.31,182.88,131.54168
F,27.34,152.4,63.50288
F,30.96,165.1,84.368112
F,24.02,162.56,63.50288
M,37.62,185.42,129.27372
M,30.84,177.8,97.52228
M,33.5,180.34,108.86208
M,35.24,182.88,117.93392
F,23.15,162.56,61.23492
M,30.44,193.04,113.398
M,26.27,185.42,90.264808
F,19.55,152.4,45.3592
F,24.1,160.02,61.688512
F,25.7,160.02,65.77084
F,34.19,152.4,79.3786
F,25.82,170.18,74.84268
M,23.01,180.34,74.84268
M,25.08,182.88,83.91452
F,24.02,162.56,63.50288
F,23.47,170.18,68.0388
M,25.08,182.88,83.91452
F,23.81,165.1,64.863656
M,30.34,185.42,104.32616
F,27.3,165.1,74.389088
F,27.8,162.56,73.481904
F,22.93,167.64,64.410064
F,24.21,167.64,68.0388
M,29.32,180.34,95.25432
M,25.77,182.88,86.18248
F,24.67,157.48,61.23492
F,21.45,162.56,56.699
M,22.24,177.8,70.30676
M,28.8,175.26,88.45044
M,23.1,185.42,79.3786
M,29.51,187.96,104.32616
F,21.18,149.86,47.62716
F,37.59,170.18,108.86208
F,18.02,170.18,52.16308
M,43.84,170.18,127.00576
F,24.34,172.72,72.57472
M,28.13,172.72,83.91452
F,26.62,172.72,79.3786
M,24.21,167.64,68.0388
F,20.58,162.56,54.43104
F,25.6,157.48,63.50288
M,26.63,165.1,72.57472
M,23.74,185.42,81.64656
M,36.01,170.18,104.32616
M,27.11,182.88,90.7184
M,34.84,172.72,103.872568
M,24.21,167.64,68.0388
M,23.63,175.26,72.57472
F,23.2,160.02,59.420552
M,35.64,185.42,122.46984
F,25.03,157.48,62.142104
M,25.59,193.04,95.25432
F,30.86,162.56,81.64656
M,24.34,175.26,74.84268
M,24.41,185.42,83.91452
M,24.34,175.26,74.84268
F,25.85,172.72,77.11064
M,37.62,185.42,129.27372
M,23.57,172.72,70.30676
M,30.27,180.34,98.429464
F,20.8,165.1,56.699
F,30.27,152.4,70.30676
M,39.53,172.72,117.93392
F,40.37,167.64,113.398
M,19.67,182.88,65.77084
M,24.39,187.96,86.18248
F,25.7,160.02,65.77084
F,25.72,162.56,68.0388
M,23.72,180.34,77.11064
M,31.25,190.5,113.398
F,18.66,177.8,58.96696
M,25.08,172.72,74.84268
M,20.09,177.8,63.50288
F,29.94,165.1,81.64656
F,23.63,175.26,72.57472
F,29.27,157.48,72.57472
F,25.4,157.48,63.049288
M,29.24,193.04,108.86208
F,25.72,162.56,68.0388
F,29.99,157.48,74.389088
F,37.59,170.18,108.86208
M,24.39,187.96,86.18248
M,25.12,177.8,79.3786
M,32.29,167.64,90.7184
M,29.51,187.96,104.32616
F,28.34,157.48,70.30676
M,29.45,170.18,85.275296
M,21.81,187.96,77.11064
F,19.49,160.02,49.89512
M,28.05,175.26,86.18248
F,22.32,162.56,58.96696
M,34.71,193.04,129.27372
M,27.46,162.56,72.57472
M,22.47,187.96,79.3786
M,31.87,182.88,106.59412
M,38.37,175.26,117.93392
F,29.67,172.72,88.45044
F,22.45,165.1,61.23492
F,24.41,152.4,56.699
F,18.87,162.56,49.89512
F,38.42,157.48,95.25432
M,28.29,165.1,77.11064
M,23.47,170.18,68.0388
F,25.79,165.1,70.30676
F,24.87,157.48,61.688512
M,29.03,185.42,99.79024
M,25.75,185.42,88.45044
M,25.97,175.26,79.832192
F,21.97,167.64,61.688512
M,29.52,175.26,90.7184
F,25.72,162.56,68.0388
F,31.62,165.1,86.18248
M,32.71,177.8,103.418976
M,26.26,175.26,80.739376
F,40.74,160.02,104.32616
F,18.87,162.56,49.89512
M,30.03,162.56,79.3786
M,40.17,177.8,127.00576
F,32.9,170.18,95.25432
M,28.05,175.26,86.18248
F,25.84,175.26,79.3786
F,27.36,172.72,81.64656
F,19.48,172.72,58.059776
F,22.45,165.1,61.23492
M,22.06,180.34,71.667536
M,35.53,167.64,99.79024
F,19.96,165.1,54.43104
F,49.38,157.48,122.46984
M,30.39,175.26,93.439952
M,28.13,190.5,102.0582
F,28.34,154.94,68.0388
M,25.81,180.34,83.91452
M,23.66,177.8,74.84268
F,19.96,165.1,54.43104
F,23.63,175.26,72.57472
F,33.93,167.64,95.25432
M,31.31,170.18,90.7184
M,27.27,177.8,86.18248
M,29.3,185.42,100.697424
F,19.2,175.26,58.96696
M,28.24,187.96,99.79024
M,27.55,177.8,87.089664
F,22.32,162.56,58.96696
M,29.83,182.88,99.79024
F,22.49,157.48,55.791816
F,21.13,170.18,61.23492
M,25.81,177.8,81.64656
M,22.45,165.1,61.23492
F,36.48,160.02,93.439952
F,21.13,170.18,61.23492
F,31.31,170.18,90.7184
M,24.39,182.88,81.64656
F,29.86,149.86,67.131616
M,33.9,182.88,113.398
F,19.49,160.02,49.89512
F,26.26,149.86,58.96696
F,44.94,165.1,122.46984
M,28.49,182.88,95.25432
M,29.52,175.26,90.7184
M,32.55,182.88,108.86208
F,19.94,152.4,46.266384
F,21.79,167.64,61.23492
M,33.85,177.8,107.047712
F,19.55,152.4,45.3592
M,30.84,177.8,97.52228
F,32.6,162.56,86.18248
M,25.08,172.72,74.84268
M,25.81,180.34,83.91452
F,22.06,172.72,65.77084
F,30.03,162.56,79.3786
M,30.15,177.8,95.25432
M,29.13,165.1,79.3786
F,25.51,154.94,61.23492
F,23.91,160.02,61.23492
F,24.04,172.72,71.667536
F,25.03,167.64,70.30676
M,28.38,193.04,105.686936
M,23.57,172.72,70.30676
F,22.61,167.64,63.50288
M,31.57,177.8,99.79024
M,26.17,167.64,73.481904
F,20.52,172.72,61.23492
F,30.78,165.1,83.91452
M,29.56,185.42,101.604608
M,22.61,167.64,63.50288
M,26.55,175.26,81.64656
F,32.42,160.02,83.007336
F,36.94,165.1,100.697424
M,20.92,180.34,68.0388
M,27.27,177.8,86.18248
F,35.87,177.8,113.398
M,39.19,182.88,131.088088
F,19.96,165.1,54.43104
F,25.72,162.56,68.0388
F,25.57,162.56,67.585208
F,39.05,152.4,90.7184
M,26.62,172.72,79.3786
M,30.83,167.64,86.636072
M,28.27,167.64,79.3786
M,29.56,182.88,98.883056
F,25.06,170.18,72.57472
M,25.82,170.18,74.84268
F,18.22,175.26,55.791816
F,25.03,167.64,70.30676
F,34.01,154.94,81.64656
F,26.32,172.72,78.471416
F,41.64,160.02,106.59412
F,34.75,157.48,86.18248
F,22.61,167.64,63.50288
F,25.24,157.48,62.595696
F,21.45,162.56,56.699
M,27.45,167.64,77.11064
M,28.9,172.72,86.18248
M,28.29,165.1,77.11064
M,22.47,187.96,79.3786
M,20.09,177.8,63.50288
M,29.52,175.26,90.7184
F,28.65,170.18,83.007336
F,28.33,152.4,65.77084
M,24.34,172.72,72.57472
M,24.21,167.64,68.0388
F,23.15,162.56,61.23492
M,31.01,175.26,95.25432
F,22.32,162.56,58.96696
F,33.48,160.02,85.728888
M,35.93,182.88,120.20188
F,24.89,162.56,65.77084
F,43.25,165.1,117.93392
F,18.24,172.72,54.43104
M,27.27,177.8,86.18248
F,21.13,170.18,61.23492
F,20.66,175.26,63.50288
M,30.69,167.64,86.18248
F,22.3,154.94,53.523856
M,27.77,167.64,78.017824
M,24.43,180.34,79.3786
M,28.27,167.64,79.3786
F,27.66,160.02,70.760352
M,29.24,193.04,108.86208
F,25.72,162.56,68.0388
F,30.51,167.64,85.728888
M,27.27,177.8,86.18248
M,25.81,180.34,83.91452
M,30.7,180.34,99.79024
F,29.16,162.56,77.11064
F,28.41,167.64,79.832192
M,30.01,190.5,108.86208
F,19.57,170.18,56.699
M,19.25,182.88,64.410064
F,37.13,167.64,104.32616
F,21.92,170.18,63.50288
M,29.15,182.88,97.52228
M,35.93,187.96,127.00576
M,34.88,180.34,113.398
F,20.58,162.56,54.43104
F,20.39,160.02,52.16308
F,21.65,165.1,58.96696
F,31.26,152.4,72.57472
F,26.63,167.64,74.84268
M,26.31,182.88,87.996848
F,32.01,157.48,79.3786
F,20.66,175.26,63.50288
M,39.45,177.8,124.7378
F,27.44,165.1,74.84268
M,26.7,177.8,84.368112
M,35.24,182.88,117.93392
M,37.23,160.02,95.25432
M,28.29,165.1,77.11064
M,27.5,190.5,99.79024
F,22.72,170.18,65.77084
F,24.67,157.48,61.23492
M,23.33,175.26,71.667536
M,28.17,170.18,81.64656
M,30.61,190.5,111.13004
F,21.0,167.64,58.96696
F,25.08,172.72,74.84268
M,28.96,170.18,83.91452
M,35.24,182.88,117.93392
M,20.37,170.18,58.96696
F,31.17,154.94,74.84268
F,33.2,152.4,77.11064
F,34.12,165.1,92.98636
F,30.37,167.64,85.275296
F,30.26,154.94,72.57472
F,23.3,165.1,63.50288
F,19.19,157.48,47.62716
M,24.39,182.88,81.64656
F,20.37,170.18,58.96696
F,23.78,157.48,58.96696
M,19.53,180.34,63.50288
M,23.75,167.64,66.678024
M,28.96,170.18,83.91452
F,27.96,165.1,76.203456
M,32.77,160.02,83.91452
M,29.42,177.8,92.98636
M,28.69,177.8,90.7184
M,23.72,180.34,77.11064
F,24.81,160.02,63.50288
M,24.34,172.72,72.57472
M,25.85,167.64,72.57472
F,36.61,165.1,99.79024
F,33.32,160.02,85.275296
F,34.01,154.94,81.64656
F,20.52,172.72,61.23492
F,23.91,160.02,61.23492
F,32.29,167.64,90.7184
F,28.96,170.18,83.91452
F,32.9,157.48,81.64656
F,24.26,160.02,62.142104
M,28.96,170.18,83.91452
F,25.72,162.56,68.0388
M,24.5,175.26,75.296272
F,22.61,167.64,63.50288
F,27.22,154.94,65.317248
F,28.36,160.02,72.57472
F,28.05,175.26,86.18248
F,21.79,162.56,57.606184
F,32.6,162.56,86.18248
M,23.74,182.88,79.3786
F,18.26,167.64,51.255896
F,41.03,152.4,95.25432
M,25.04,187.96,88.45044
M,30.41,172.72,90.7184
M,37.68,180.34,122.46984
F,22.86,157.48,56.699
F,20.99,165.1,57.152592
F,38.44,160.02,98.429464
F,26.63,165.1,72.57472
M,29.94,165.1,81.64656
F,30.69,167.64,86.18248
M,25.77,182.88,86.18248
M,26.62,170.18,77.11064
F,25.03,167.64,70.30676
M,28.47,175.26,87.543256
M,29.94,165.1,81.64656
M,23.3,165.1,63.50288
M,30.7,180.34,99.79024
M,29.7,185.42,102.0582
M,23.32,182.88,78.017824
M,27.36,172.72,81.64656
F,43.13,157.48,107.047712
M,31.39,162.56,83.007336
F,38.59,167.64,108.408488
F,22.15,160.02,56.699
F,24.34,175.26,74.84268
M,31.02,160.02,79.3786
F,17.23,170.18,49.89512
F,20.21,149.86,45.3592
M,30.7,180.34,99.79024
F,27.12,162.56,71.667536
M,26.52,180.34,86.18248
F,30.18,162.56,79.832192
F,32.1,165.1,87.543256
F,20.37,170.18,58.96696
F,19.63,165.1,53.523856
F,24.95,165.1,68.0388
M,29.32,180.34,95.25432
M,23.44,180.34,76.203456
F,52.47,149.86,117.93392
M,28.03,170.18,81.192968
M,23.57,172.72,70.30676
M,27.9,180.34,90.7184
F,19.74,162.56,52.16308
M,26.62,170.18,77.11064
M,29.15,182.88,97.52228
M,20.46,193.04,76.203456
M,21.02,182.88,70.30676
M,31.95,172.72,95.25432
M,27.46,162.56,72.57472
M,20.66,175.26,63.50288
F,21.98,162.56,58.059776
F,24.67,157.48,61.23492
M,29.32,180.34,95.25432
M,31.18,182.88,104.32616
F,23.78,157.48,58.96696
M,28.06,180.34,91.171992
M,22.88,175.26,70.30676
F,32.94,165.1,89.811216
F,26.93,162.56,71.213944
F,27.94,152.4,64.863656
M,28.49,182.88,95.25432
F,24.02,162.56,63.50288
M,27.11,182.88,90.7184
F,20.8,165.1,56.699
M,24.39,177.8,77.11064
F,31.08,157.48,77.11064
F,21.93,157.48,54.43104
F,22.61,167.64,63.50288
M,26.46,182.88,88.45044
M,25.38,175.26,78.017824
F,33.48,160.02,85.728888
M,31.18,182.88,104.32616
M,21.02,182.88,70.30676
M,20.81,177.8,65.77084
F,25.06,170.18,72.57472
F,27.46,162.56,72.57472
F,24.8,165.1,67.585208
M,32.29,167.64,90.7184
F,22.13,175.26,68.0388
F,33.46,165.1,91.171992
F,26.62,170.18,77.11064
F,34.75,157.48,86.18248
F,34.19,152.4,79.3786
F,21.79,167.64,61.23492
F,25.82,170.18,74.84268
M,30.39,175.26,93.439952
F,25.51,154.94,61.23492
F,25.86,160.02,66.224432
F,20.58,162.56,54.43104
F,28.27,167.64,79.3786
M,27.27,177.8,86.18248
M,25.77,182.88,86.18248
F,31.31,170.18,90.7184
M,23.63,175.26,72.57472
M,25.09,175.26,77.11064
F,29.16,162.56,77.11064
M,30.84,177.8,97.52228
M,23.47,170.18,68.0388
M,27.9,180.34,90.7184
F,24.89,162.56,65.77084
F,23.91,160.02,61.23492
F,30.86,162.56,81.64656
M,33.66,185.42,115.66596
M,20.68,167.64,58.059776
F,19.36,177.8,61.23492
F,30.41,172.72,90.7184
F,31.17,154.94,74.84268
F,34.02,157.48,84.368112
M,24.14,165.1,65.77084
M,27.9,180.34,90.7184
M,24.34,175.26,74.84268
